000100	1	本店	ネット本店	課税	内税		
000101	2	楽天	楽天市場店	課税	内税		
000104	3	Yahoo	Yahoo!ショッピング店	課税	内税		
000102	4	アマゾン	Amazon	課税	内税		
000103	2	楽天海外	楽天海外	非課税	免税		
000106	8	Ippin	Ippin	非課税	免税		
000105	5	実店舗	実店舗	課税	内税		
000111	6	ＢｔｏＢ	ＢｔｏＢ	課税	内税		
POINT	1	ポイント	ネット本店	非課税	内税	1313	ozie本店 ﾎﾟｲﾝﾄ還元 値引
GIFT	0	ギフト	店舗毎	課税	内税	1555	ギフト
DELIVERY	0	送料	店舗毎	課税	内税	1090	送料
DAIBIKI	4	代引	Amazon	課税	内税	1333	ｱﾏｿﾞﾝ代金引換手数料
QOUPON		クーポン	ネット本店	非課税	内税	1082	ozie本店NEWクーポン 値引
